job_change_intention,city_development_index,male,relevent_experience,education_level,experience,last_new_job,training_hours
0,0.91,1,0,5,1,1,106
0,0.754,1,1,5,7,4,99
0,0.789,0,1,5,8,5,11
1,0.624,1,1,5,2,1,101
1,0.926,1,1,3,6,3,15
0,0.89,1,0,5,6,5,29
0,0.855,1,1,5,14,4,54
0,0.91,0,1,5,10,1,12
0,0.939,1,1,5,9,-1,80
1,0.558,1,0,5,2,-1,71
1,0.91,1,0,5,1,1,42
0,0.769,1,1,5,10,2,28
0,0.92,1,1,5,4,1,109
0,0.754,1,1,5,7,1,3
1,0.855,1,1,5,11,2,76
0,0.92,1,1,5,16,5,112
0,0.556,1,1,5,1,-1,46
0,0.926,1,1,5,17,5,90
0,0.92,1,1,5,0,1,53
1,0.624,1,1,5,5,3,6
0,0.926,1,1,5,9,1,15
0,0.89,1,1,3,12,5,188
0,0.903,1,1,5,6,1,108
0,0.92,1,1,5,8,1,9
0,0.795,1,0,5,4,1,83
0,0.923,1,1,3,4,2,42
0,0.92,1,1,5,9,5,22
0,0.926,1,1,5,15,1,28
0,0.92,1,1,5,4,1,84
0,0.897,1,0,5,8,2,6
1,0.624,1,1,5,10,1,149
1,0.92,1,1,5,5,1,17
0,0.682,1,1,5,9,1,66
0,0.92,1,1,5,12,4,52
0,0.91,1,1,5,11,5,28
1,0.624,1,0,3,4,-1,44
0,0.92,1,1,1,5,-1,31
0,0.897,1,1,5,9,2,13
0,0.91,1,1,5,16,2,170
1,0.624,1,1,5,7,1,116
1,0.624,1,1,5,11,5,71
1,0.624,1,1,5,9,5,6
0,0.92,1,0,5,3,1,94
1,0.92,0,1,5,11,5,74
0,0.624,1,0,3,5,-1,165
1,0.624,1,1,5,13,2,145
0,0.899,0,1,5,5,3,69
0,0.836,1,1,5,11,-1,30
0,0.754,1,1,5,5,1,7
0,0.776,1,1,3,1,1,89
0,0.91,1,0,3,3,-1,51
0,0.895,1,1,5,16,5,45
0,0.926,1,1,5,13,3,77
0,0.92,1,0,5,16,3,30
0,0.92,1,0,5,15,1,182
0,0.895,1,1,5,14,1,83
0,0.897,1,1,5,9,2,39
0,0.92,1,1,5,10,2,31
1,0.55,0,1,5,5,2,47
0,0.926,1,1,3,15,5,6
0,0.92,1,1,5,5,1,53
1,0.855,1,1,3,9,1,50
0,0.804,1,0,3,3,-1,32
0,0.855,1,1,5,3,2,15
1,0.939,0,1,5,7,5,77
0,0.89,1,1,5,9,1,17
1,0.762,1,1,5,7,2,43
0,0.91,1,1,5,11,1,43
0,0.884,1,0,5,1,1,206
0,0.92,1,1,5,15,2,64
0,0.913,1,1,5,11,2,62
0,0.843,1,1,5,11,2,38
0,0.926,0,1,5,19,4,70
0,0.897,1,1,5,1,1,222
1,0.624,0,0,3,2,-1,79
0,0.92,1,1,5,14,5,38
0,0.91,1,0,3,2,1,9
0,0.743,1,1,5,6,1,28
1,0.926,1,0,5,8,1,92
1,0.624,1,1,5,1,1,4
1,0.624,1,1,5,5,1,88
0,0.743,1,1,5,6,1,4
0,0.92,1,0,1,4,-1,17
0,0.92,1,1,5,15,1,109
1,0.949,1,0,5,1,-1,3
0,0.92,1,1,5,8,2,19
0,0.92,1,0,5,20,5,28
0,0.926,1,1,5,7,1,44
0,0.802,1,1,5,17,2,90
1,0.624,1,0,5,6,-1,61
1,0.796,1,0,3,3,1,12
0,0.923,1,1,5,9,1,70
0,0.92,1,0,5,18,4,20
0,0.743,1,1,5,7,1,15
0,0.926,1,0,5,6,2,38
1,0.624,1,1,5,10,5,81
0,0.92,0,1,5,4,3,70
0,0.92,1,1,5,14,1,18
0,0.897,1,1,5,9,1,47
1,0.624,1,1,5,2,1,11
0,0.92,1,1,5,13,3,12
0,0.802,1,1,5,11,-1,86
0,0.92,1,1,5,1,1,48
0,0.91,1,1,5,7,2,6
1,0.92,1,0,5,11,4,130
1,0.92,1,0,5,7,-1,32
0,0.804,1,1,5,10,2,44
0,0.92,1,1,5,16,5,10
1,0.767,1,0,5,5,1,17
0,0.92,0,1,5,4,1,34
0,0.682,1,1,5,15,5,85
1,0.92,1,1,5,11,1,92
0,0.698,1,1,5,7,-1,139
0,0.924,1,1,5,17,5,25
0,0.896,1,1,5,5,2,42
0,0.913,1,1,5,14,1,39
0,0.92,1,1,5,16,1,4
1,0.624,1,1,5,15,1,14
0,0.92,1,1,5,6,1,26
1,0.624,1,0,5,0,2,51
0,0.926,1,1,3,9,4,50
0,0.722,1,0,5,3,1,55
0,0.92,1,1,5,8,2,258
1,0.624,1,1,5,4,2,12
0,0.897,1,1,5,9,2,64
0,0.754,1,1,5,7,5,41
1,0.804,1,0,1,6,1,94
0,0.624,1,0,5,0,1,12
0,0.579,0,1,5,1,1,47
0,0.92,1,1,5,9,1,10
0,0.878,1,0,5,16,-1,139
0,0.926,1,1,5,0,1,4
0,0.92,1,1,5,3,2,28
0,0.92,0,1,5,14,1,23
0,0.855,1,1,5,10,1,99
0,0.91,1,0,1,3,-1,94
0,0.794,1,1,5,13,1,29
0,0.91,1,1,5,19,1,18
0,0.92,1,1,5,14,3,81
0,0.647,1,0,5,4,-1,133
0,0.899,1,1,3,9,2,100
0,0.92,0,0,5,2,-1,34
0,0.92,1,1,5,14,5,156
0,0.923,1,0,5,3,1,51
0,0.624,1,0,3,8,-1,111
0,0.897,1,1,5,7,3,27
0,0.939,1,0,5,9,2,39
0,0.926,1,1,5,8,1,34
0,0.754,1,1,5,16,3,48
0,0.767,0,0,5,3,1,26
1,0.92,0,1,5,15,1,34
0,0.92,1,0,1,3,-1,78
0,0.92,1,1,3,6,3,167
1,0.903,1,1,5,12,3,54
0,0.624,1,0,5,1,-1,53
0,0.91,1,0,5,11,5,100
1,0.92,1,1,5,18,1,174
0,0.666,0,1,5,10,4,54
0,0.92,1,0,5,6,1,18
1,0.624,1,0,3,2,-1,34
0,0.884,1,1,5,20,5,4
0,0.624,1,1,5,11,1,12
0,0.698,1,1,5,7,1,139
1,0.926,1,0,5,6,1,51
0,0.924,1,0,3,3,1,17
1,0.698,1,1,5,12,4,97
0,0.91,0,1,5,4,1,47
0,0.92,1,1,5,20,2,104
0,0.754,1,1,3,7,2,176
0,0.92,1,1,5,6,1,100
0,0.926,1,0,3,9,-1,150
0,0.91,1,1,3,1,1,140
0,0.92,1,1,5,3,1,222
0,0.939,1,1,3,7,1,6
0,0.764,1,0,3,2,1,104
0,0.926,0,0,5,4,3,39
1,0.926,1,1,3,8,-1,50
0,0.92,1,1,5,10,3,33
0,0.847,1,0,3,4,1,114
0,0.926,1,0,5,9,1,32
0,0.92,1,1,5,3,1,30
0,0.91,1,0,5,4,1,33
1,0.92,1,0,5,15,5,51
0,0.923,1,1,5,14,1,40
0,0.92,1,1,5,16,1,54
0,0.776,0,1,5,5,1,118
1,0.55,1,1,5,9,3,10
0,0.924,1,0,3,1,-1,278
0,0.796,1,1,5,11,5,25
0,0.92,1,1,5,3,1,114
1,0.92,1,0,5,8,1,100
0,0.897,1,1,5,13,1,31
1,0.624,1,1,5,4,1,48
0,0.689,1,1,5,10,1,206
1,0.624,1,1,5,8,2,102
1,0.92,1,0,5,5,2,86
1,0.92,1,1,5,5,1,25
0,0.926,1,1,5,14,5,28
0,0.836,1,1,5,6,1,28
0,0.939,1,1,5,16,1,29
0,0.624,0,0,5,6,-1,31
0,0.926,1,1,5,12,1,48
0,0.926,1,0,3,11,1,48
0,0.915,1,1,5,5,1,28
0,0.624,1,0,5,3,-1,42
0,0.624,1,0,5,2,1,95
0,0.915,1,1,5,9,1,6
0,0.92,1,1,5,19,1,13
0,0.698,1,0,3,5,1,12
0,0.913,1,1,5,7,1,10
0,0.92,1,1,5,13,1,8
0,0.624,0,0,5,5,1,32
0,0.91,1,1,5,3,1,164
0,0.92,1,1,5,17,5,81
0,0.855,1,0,3,3,-1,46
1,0.624,1,0,3,4,-1,64
0,0.897,1,1,5,10,2,52
0,0.92,1,1,5,12,1,106
0,0.92,1,1,5,9,1,250
1,0.895,1,1,5,9,2,10
0,0.776,1,1,5,6,2,54
0,0.926,1,1,3,7,2,41
0,0.92,1,1,5,1,1,48
0,0.91,1,1,5,0,1,140
0,0.92,1,1,5,18,1,11
1,0.624,1,0,3,7,-1,88
0,0.624,1,0,1,0,-1,132
0,0.926,1,1,5,9,-1,122
0,0.92,1,1,5,10,4,29
1,0.92,1,0,3,5,1,140
0,0.92,1,0,5,8,1,32
0,0.92,0,1,5,2,1,124
0,0.836,0,1,5,6,1,122
0,0.92,1,1,3,2,1,112
0,0.92,1,1,5,13,5,29
0,0.624,1,0,3,2,-1,17
0,0.897,1,1,5,18,1,50
1,0.926,0,1,5,2,1,33
1,0.762,0,0,5,3,5,122
1,0.579,1,1,5,10,-1,24
0,0.836,1,1,3,15,2,146
0,0.92,0,1,5,11,1,110
0,0.92,1,1,5,2,1,38
1,0.558,1,1,5,15,5,20
0,0.893,0,1,5,7,2,11
0,0.92,1,1,5,10,2,57
0,0.896,1,1,5,4,-1,15
1,0.624,1,1,5,1,1,20
0,0.92,1,0,5,3,-1,52
1,0.754,1,1,5,16,-1,29
0,0.55,1,0,5,3,1,80
1,0.624,1,1,5,6,1,104
1,0.74,1,0,5,2,-1,141
0,0.92,1,1,5,8,2,170
1,0.624,1,1,5,3,2,78
0,0.762,1,1,5,7,2,224
0,0.926,1,0,3,10,5,46
0,0.767,1,1,5,5,1,43
0,0.855,1,1,3,10,1,43
0,0.926,0,1,5,10,1,37
0,0.743,1,1,5,6,1,102
0,0.899,1,1,5,11,2,10
1,0.92,1,0,1,9,-1,67
0,0.939,1,1,5,14,1,158
1,0.74,1,1,5,10,1,9
0,0.855,0,0,5,13,5,51
0,0.789,1,1,5,7,1,26
0,0.92,1,1,5,6,1,32
0,0.949,1,1,3,15,5,26
0,0.866,1,1,5,6,1,108
1,0.624,1,1,5,10,2,11
1,0.624,0,1,5,4,1,64
0,0.855,1,1,5,14,1,15
0,0.926,1,1,3,15,5,64
0,0.666,1,1,5,14,1,39
0,0.926,1,0,3,9,-1,13
0,0.624,1,0,5,4,1,3
1,0.92,1,1,5,9,4,62
0,0.92,1,1,5,17,1,74
1,0.913,0,0,5,3,5,99
0,0.887,1,1,5,11,2,178
0,0.743,1,1,5,12,3,26
0,0.926,1,1,3,14,2,77
0,0.939,1,1,5,4,1,42
0,0.92,1,1,5,6,2,4
1,0.624,1,1,5,5,2,5
0,0.92,1,0,5,11,1,15
0,0.855,1,1,5,14,5,143
0,0.698,1,1,5,18,1,28
0,0.827,1,1,5,7,3,48
0,0.624,0,1,5,6,1,6
1,0.923,0,1,5,18,1,13
1,0.743,1,1,5,10,3,52
1,0.92,1,1,5,11,2,34
0,0.843,1,1,5,6,5,123
1,0.624,1,1,5,10,-1,126
1,0.624,1,0,5,10,5,6
0,0.666,0,1,5,5,-1,15
0,0.91,1,1,5,14,1,56
0,0.827,1,1,5,3,2,38
0,0.91,1,1,5,6,1,46
1,0.91,0,0,3,3,1,34
0,0.899,1,1,5,12,2,69
0,0.949,1,1,5,4,4,42
0,0.91,1,1,5,16,1,15
0,0.92,1,1,5,11,1,24
0,0.926,1,0,3,6,4,144
0,0.92,1,0,3,4,1,194
0,0.887,1,0,5,2,-1,36
0,0.92,1,1,5,14,4,66
0,0.91,1,0,3,3,-1,182
1,0.624,1,0,5,2,1,75
1,0.865,1,1,5,11,2,20
0,0.804,1,0,3,5,1,17
0,0.92,0,1,5,19,1,292
0,0.698,1,1,5,7,1,27
0,0.802,1,0,5,4,-1,134
0,0.926,1,1,5,7,3,29
0,0.924,1,0,1,5,-1,4
0,0.92,1,1,5,20,1,66
1,0.836,1,0,5,3,1,12
0,0.884,1,1,5,14,3,20
0,0.802,1,1,5,13,2,19
1,0.624,0,1,5,9,5,36
1,0.624,1,1,5,7,1,69
0,0.939,1,1,1,10,-1,9
0,0.754,1,0,5,10,1,157
0,0.92,1,1,5,8,5,10
0,0.924,1,1,5,19,2,70
0,0.92,1,1,5,12,2,36
0,0.848,1,1,5,3,-1,32
1,0.624,1,1,5,3,1,10
0,0.926,1,0,5,7,-1,44
1,0.493,1,1,3,4,1,105
0,0.91,1,1,5,20,1,19
0,0.855,1,0,5,11,2,6
0,0.939,1,0,3,3,1,4
0,0.926,1,1,5,16,5,37
0,0.89,1,1,5,9,-1,218
0,0.92,1,1,5,9,2,95
0,0.624,1,1,5,12,5,330
0,0.763,1,1,5,9,1,68
0,0.887,1,0,3,9,-1,29
0,0.926,1,1,5,6,1,182
0,0.92,1,1,3,10,4,36
0,0.899,0,0,3,2,1,168
0,0.624,1,1,5,9,2,80
0,0.91,1,1,5,19,1,6
0,0.884,1,1,5,11,1,138
0,0.92,1,1,5,15,2,244
0,0.926,1,1,5,11,2,98
0,0.754,1,1,5,15,5,3
0,0.624,1,1,5,3,3,77
1,0.698,1,1,5,0,2,26
0,0.92,1,1,5,13,2,56
0,0.698,1,1,5,19,1,44
0,0.939,1,1,3,8,3,6
0,0.893,1,1,5,6,1,52
1,0.92,1,0,5,8,1,56
1,0.92,1,1,5,15,1,18
0,0.92,1,1,5,1,1,18
0,0.91,1,1,5,11,1,51
0,0.666,1,1,5,5,1,31
0,0.92,1,1,5,19,1,44
0,0.925,1,1,5,9,4,52
0,0.887,1,1,5,6,1,44
0,0.766,1,1,5,10,1,64
0,0.92,1,1,5,12,5,18
1,0.624,1,0,5,6,1,17
1,0.624,1,0,5,3,-1,42
0,0.762,1,1,5,9,5,70
1,0.924,1,0,5,13,3,41
0,0.624,1,1,5,2,2,149
0,0.624,1,1,5,8,1,18
0,0.727,1,1,5,5,1,48
0,0.92,0,1,5,16,1,29
0,0.897,1,1,5,10,1,48
0,0.926,1,0,3,5,1,8
1,0.939,1,1,5,3,2,64
0,0.899,1,0,5,16,5,13
0,0.887,1,1,3,4,1,11
0,0.939,1,0,5,3,2,109
1,0.926,1,1,3,10,-1,40
0,0.939,1,0,5,4,-1,6
0,0.579,1,0,5,6,2,5
1,0.624,1,1,5,9,1,42
1,0.624,1,0,5,2,-1,58
1,0.624,1,1,5,7,2,6
0,0.92,1,1,5,8,4,85
1,0.624,1,1,5,5,2,35
0,0.91,1,1,5,16,4,12
0,0.855,1,1,5,3,1,70
0,0.802,1,1,5,10,2,27
1,0.884,1,0,5,4,1,51
0,0.624,1,1,5,7,2,65
0,0.91,1,0,5,19,1,56
1,0.624,1,1,5,2,2,41
0,0.939,1,0,1,2,-1,204
0,0.91,0,1,5,8,1,90
0,0.855,1,1,5,20,2,308
0,0.91,1,1,5,9,5,97
0,0.92,1,1,5,15,5,242
0,0.92,1,1,5,16,5,94
0,0.804,1,1,5,10,1,45
0,0.913,1,1,5,9,1,35
0,0.91,1,0,5,2,1,48
0,0.647,1,1,5,4,1,18
0,0.92,0,0,5,5,1,6
1,0.624,1,1,5,4,1,32
1,0.624,1,1,5,19,5,11
1,0.92,1,0,5,9,-1,78
0,0.92,1,1,5,4,2,77
0,0.92,1,1,5,3,1,90
1,0.897,1,0,5,4,-1,51
0,0.925,1,1,5,14,4,112
1,0.762,1,0,5,3,1,31
0,0.897,0,1,5,17,1,19
0,0.897,1,1,5,3,1,59
0,0.926,1,0,5,0,5,41
0,0.939,1,1,5,10,1,2
0,0.91,1,1,5,16,5,24
0,0.698,1,1,5,5,1,15
1,0.624,1,0,5,2,-1,98
0,0.92,1,1,5,17,2,8
0,0.92,1,0,5,5,-1,13
1,0.698,1,0,5,5,1,42
0,0.92,1,0,5,13,2,22
1,0.92,0,1,5,10,5,20
0,0.698,1,0,3,4,-1,37
1,0.855,1,1,5,11,2,76
0,0.92,1,1,5,7,1,15
1,0.762,1,0,5,5,-1,6
0,0.92,1,1,5,2,2,178
0,0.91,1,1,5,7,1,23
0,0.926,1,1,5,18,1,178
0,0.887,1,1,3,4,1,45
0,0.802,1,1,5,10,5,52
0,0.92,1,1,5,7,1,11
0,0.855,0,1,3,2,1,24
1,0.789,0,0,5,0,1,43
0,0.913,1,1,5,7,1,10
0,0.855,1,1,5,14,5,30
0,0.682,1,0,3,0,-1,51
1,0.924,1,1,5,13,-1,47
0,0.91,0,1,5,8,4,74
0,0.939,1,1,5,9,3,141
1,0.624,1,1,5,3,1,67
0,0.666,1,1,5,6,1,134
0,0.624,1,1,5,4,1,65
1,0.624,0,1,5,15,1,9
0,0.666,1,0,5,3,1,53
0,0.804,1,1,5,11,2,21
0,0.91,1,1,5,6,1,9
0,0.91,1,1,5,15,1,51
0,0.624,1,1,5,6,1,75
0,0.939,1,1,5,20,5,82
0,0.91,1,1,5,9,1,91
0,0.855,1,1,5,16,2,70
0,0.666,1,1,5,4,1,312
1,0.92,0,0,5,8,4,19
0,0.624,1,0,3,4,-1,70
0,0.92,1,1,5,10,5,91
0,0.887,1,1,3,14,1,89
0,0.878,1,1,5,17,2,218
0,0.896,1,0,3,3,-1,74
0,0.939,1,1,5,8,1,31
0,0.923,1,1,5,5,4,264
0,0.624,1,1,5,3,1,88
0,0.939,1,1,5,8,5,68
0,0.91,1,1,5,19,4,24
0,0.624,1,1,5,15,3,57
0,0.855,1,0,5,2,-1,6
1,0.915,1,1,3,14,1,6
0,0.698,1,1,5,8,1,73
0,0.897,1,1,5,5,1,19
1,0.624,1,1,5,3,2,13
0,0.827,1,1,5,7,2,48
1,0.796,1,0,3,3,2,22
0,0.926,1,1,5,18,5,61
0,0.903,1,1,5,8,3,55
0,0.91,1,0,3,8,-1,64
0,0.743,1,1,5,13,1,18
0,0.83,1,0,1,8,-1,10
1,0.555,1,1,5,9,1,24
0,0.55,1,1,5,6,1,48
0,0.926,1,1,5,17,5,19
0,0.92,1,1,5,8,1,78
0,0.92,1,1,5,15,2,166
1,0.624,0,1,5,5,1,37
0,0.91,1,1,5,18,5,41
0,0.939,1,1,5,4,2,41
0,0.92,1,1,5,14,1,334
0,0.92,0,1,5,3,1,2
1,0.624,1,1,5,1,-1,162
0,0.624,1,1,5,8,1,149
0,0.926,1,1,3,9,1,7
0,0.91,1,0,5,4,1,36
1,0.527,0,1,5,10,2,18
0,0.91,1,1,3,6,1,12
0,0.92,1,0,5,10,1,105
1,0.92,1,0,5,3,1,97
0,0.827,1,1,5,15,1,114
1,0.624,1,0,3,10,1,109
0,0.92,1,0,5,16,5,43
0,0.804,1,0,3,3,1,4
0,0.91,1,1,5,7,1,30
0,0.939,1,1,5,5,2,112
1,0.92,1,0,5,7,1,6
1,0.92,1,1,5,5,1,103
0,0.91,1,1,5,10,4,176
0,0.624,1,1,5,17,3,42
0,0.897,0,0,5,6,4,72
1,0.55,1,0,3,7,-1,86
0,0.926,0,1,5,17,5,100
1,0.624,1,0,3,3,-1,129
0,0.92,1,1,5,4,1,57
1,0.624,1,1,5,7,2,240
0,0.926,1,1,5,11,1,108
0,0.624,1,1,5,4,1,7
0,0.691,1,1,5,5,2,78
0,0.91,1,1,5,18,1,70
1,0.579,1,1,5,14,1,19
1,0.92,1,1,5,19,1,145
0,0.743,1,1,5,12,3,100
1,0.887,1,1,3,12,4,128
0,0.926,1,1,5,9,1,21
0,0.698,1,1,5,14,2,32
0,0.91,1,1,5,6,1,38
1,0.698,1,1,5,8,1,23
0,0.92,1,1,5,15,2,31
0,0.92,0,1,5,12,4,38
0,0.92,1,1,5,11,1,4
0,0.92,1,0,3,4,1,23
0,0.624,1,1,5,5,1,52
0,0.804,1,0,1,0,5,11
0,0.92,1,1,5,16,3,80
0,0.92,0,1,5,14,2,64
0,0.92,1,0,3,2,-1,41
1,0.624,1,0,5,3,2,80
0,0.926,1,1,5,14,1,32
0,0.939,1,1,5,10,2,11
0,0.92,1,1,5,8,2,8
0,0.939,1,1,5,10,1,6
1,0.624,1,1,5,19,5,13
1,0.55,1,1,5,5,2,90
1,0.92,1,1,5,15,1,40
0,0.91,1,1,5,19,1,116
0,0.926,1,1,5,13,2,14
0,0.804,1,1,5,10,1,112
0,0.804,1,1,5,13,3,60
1,0.555,1,0,5,4,-1,60
0,0.802,1,1,5,14,4,63
1,0.887,1,1,5,16,4,103
0,0.92,1,1,5,19,2,88
0,0.91,1,1,5,19,1,320
0,0.926,1,1,5,14,5,68
0,0.91,1,1,5,18,5,61
1,0.624,1,1,5,18,2,44
1,0.624,1,1,5,2,2,14
0,0.92,1,1,5,4,2,20
1,0.855,1,1,5,2,1,28
1,0.624,1,1,5,0,-1,284
0,0.776,1,1,5,10,2,35
0,0.92,1,1,5,4,2,8
1,0.804,1,0,5,3,-1,73
1,0.92,0,0,5,6,1,46
0,0.624,1,1,5,3,1,98
0,0.92,1,0,5,5,3,143
0,0.92,1,1,5,6,1,38
0,0.624,1,1,5,11,1,51
0,0.923,1,1,5,19,1,37
0,0.827,1,1,5,14,1,192
0,0.896,1,1,5,18,3,65
0,0.91,1,0,1,2,-1,12
0,0.91,1,1,5,15,1,2
1,0.558,1,1,5,1,1,36
0,0.92,1,1,5,3,3,11
0,0.776,1,1,3,16,5,76
0,0.895,1,1,5,3,1,14
0,0.624,1,0,3,2,-1,3
0,0.887,1,1,5,10,4,106
0,0.855,0,0,5,11,5,78
0,0.91,1,1,5,6,1,72
0,0.92,1,1,5,19,3,36
0,0.895,1,1,5,15,1,41
0,0.92,1,1,5,4,1,13
0,0.92,1,1,5,10,2,28
0,0.926,1,0,5,14,1,200
0,0.915,1,1,5,12,1,17
0,0.698,1,0,5,11,2,42
0,0.92,1,1,5,14,1,50
1,0.624,1,0,3,7,-1,136
0,0.92,1,0,3,2,1,20
0,0.804,1,1,5,17,1,112
0,0.527,1,1,5,2,1,264
0,0.893,1,1,5,10,3,226
1,0.55,1,0,3,5,-1,4
0,0.949,1,1,5,10,2,62
0,0.855,0,1,5,16,3,168
0,0.91,1,1,5,10,2,91
0,0.896,1,0,3,2,-1,54
0,0.92,1,1,5,14,5,99
1,0.855,1,1,5,5,1,106
1,0.624,1,0,5,4,1,132
0,0.92,1,0,5,10,-1,10
0,0.92,1,1,5,10,1,60
0,0.754,1,1,5,8,1,34
0,0.624,1,1,5,7,1,88
1,0.92,1,1,5,3,2,34
0,0.939,1,0,5,10,1,12
0,0.92,1,0,5,7,1,60
0,0.897,1,1,5,12,1,94
0,0.92,1,1,5,9,5,41
0,0.92,1,1,5,17,2,14
0,0.924,1,1,5,9,5,45
0,0.897,1,1,5,15,1,15
0,0.92,1,1,5,6,1,42
0,0.897,1,0,5,18,1,31
0,0.92,1,1,5,16,1,15
0,0.91,0,1,5,9,1,4
0,0.804,1,0,3,6,1,43
0,0.924,1,1,5,9,1,51
1,0.92,1,1,5,18,1,13
1,0.92,0,1,5,5,1,79
1,0.92,1,1,5,8,2,37
0,0.926,1,0,3,5,2,111
0,0.92,1,0,5,16,1,276
1,0.624,0,1,5,3,2,7
1,0.92,1,1,5,10,1,50
0,0.92,1,1,5,12,5,38
0,0.926,1,0,3,8,-1,124
0,0.92,1,1,5,5,1,26
0,0.926,1,1,5,9,1,17
0,0.804,1,1,5,9,2,22
0,0.923,1,1,5,5,3,46
0,0.926,1,0,5,14,1,46
0,0.925,1,1,5,6,2,105
0,0.738,1,0,3,3,1,4
0,0.92,1,0,5,14,1,15
0,0.92,1,1,5,15,3,40
0,0.926,1,1,5,6,5,78
0,0.893,1,1,5,10,1,67
0,0.92,1,0,5,11,5,62
1,0.624,1,1,5,7,1,4
0,0.866,1,1,5,12,1,30
1,0.754,1,1,5,10,-1,23
0,0.897,1,0,5,11,2,8
1,0.92,1,1,5,9,2,56
0,0.624,1,1,5,4,-1,32
0,0.91,1,1,5,19,5,86
0,0.92,1,1,5,6,1,14
1,0.92,0,1,5,6,3,60
0,0.926,1,1,5,7,1,70
0,0.897,1,1,5,12,3,6
0,0.878,1,1,5,11,1,6
0,0.91,1,1,5,10,4,9
0,0.926,1,1,5,6,1,88
0,0.698,1,0,3,6,-1,24
0,0.926,1,0,5,17,1,18
0,0.856,1,1,5,11,-1,26
0,0.926,1,1,5,8,1,41
1,0.92,1,1,5,2,1,22
0,0.848,1,1,5,10,1,80
0,0.924,1,1,5,15,5,17
0,0.92,1,1,5,9,1,25
1,0.802,1,1,5,6,2,14
1,0.769,1,0,5,11,2,18
0,0.558,1,0,5,3,1,332
0,0.92,1,1,5,18,4,102
0,0.897,1,1,5,11,1,56
1,0.624,1,1,5,1,1,58
1,0.92,0,1,5,0,1,18
0,0.855,1,1,5,10,1,12
